category,MMSI,Vessel Name,IMO Number,Flag,Call Sign,Port of Registry,Owner Name,Owner Address,Operator Name,Operator Address,Infraction Links
unmatched_ais,440321890,Deokjinho 607,4194304,South Korea,,,,,,,
unmatched_ais,440311860,Deokjinho 67,,South Korea,,,,,,,
unmatched_ais,440312870,Deokjinho 75,4194304,South Korea,,,,,,,
unmatched_ais,440214090,Deokseongho,4194304,South Korea,,,,,,,
unmatched_ais,440325230,Deokyangho 103,,South Korea,,,,,,,
unmatched_ais,440105320,Deukmyung 28,4194304,South Korea,,,,,,,
unmatched_ais,440126210,Docheong,4194304,South Korea,,,,,,,
unmatched_ais,440017580,Dohwa,,South Korea,,,,,,,
unmatched_ais,440215280,Dongbaek,,South Korea,,,,,,,
unmatched_ais,441074000,Donghae 101,7417862,South Korea,,,,,,,
unmatched_ais,440504030,Donghaeseastar,,South Korea,,,,,,,
unmatched_ais,440335090,Dongho 2,4194304,South Korea,,,,,,,
unmatched_ais,440108550,Dongho 28,4194304,South Korea,,,,,,,
unmatched_ais,441792000,Dongho 65,,South Korea,,,,,,,
unmatched_ais,440147250,Dongil 12,,South Korea,,,,,,,
unmatched_ais,440096840,Dongil 5,,South Korea,,,,,,,
unmatched_ais,440096870,Dongil 6,,South Korea,,,,,,,
unmatched_ais,440600117,Dongin,,South Korea,,,,,,,
unmatched_ais,440506840,Dongjin,,South Korea,,,,,,,
unmatched_ais,440081160,Dongjin 558,4194304,South Korea,,,,,,,
unmatched_ais,440326330,Dongjinho,,South Korea,,,,,,,
unmatched_ais,440016100,Dongjoo 103,,South Korea,,,,,,,
unmatched_ais,440403040,Dongkyeong,,South Korea,,,,,,,
unmatched_ais,440149020,Dongmin 5007,,South Korea,,,,,,,
unmatched_ais,440130630,Dongmyeong 65,,South Korea,,,,,,,
unmatched_ais,440127180,Dongmyeong 75,,South Korea,,,,,,,
unmatched_ais,440127170,Dongmyeong 76,,South Korea,,,,,,,
unmatched_ais,440101390,Dongmyeong 808,,South Korea,,,,,,,
unmatched_ais,440147310,Dongmyeong 99,,South Korea,,,,,,,
unmatched_ais,440208010,Dongmyung 2015,4194304,South Korea,,,,,,,
unmatched_ais,440111810,Dongnam 709,,South Korea,,,,,,,
unmatched_ais,440003860,Dongsinho,,South Korea,,,,,,,
unmatched_ais,440313973,Dongsungho,,South Korea,,,,,,,
unmatched_ais,440145190,Dongwon 107,,South Korea,,,,,,,
unmatched_ais,440890000,Dongwon 530,8317239,South Korea,,,,,,,
unmatched_ais,440137870,Dongwoonho 2015,4194304,South Korea,,,,,,,
unmatched_ais,440158360,Dongyang,,South Korea,,,,,,,
unmatched_ais,440204960,Dongyang,,South Korea,,,,,,,
unmatched_ais,440126420,Dongyang 206,,South Korea,,,,,,,
unmatched_ais,440015820,Dongyoung,4194304,South Korea,,,,,,,
unmatched_ais,440600140,Doreongho,,South Korea,,,,,,,
unmatched_ais,440131540,Duck 288,,South Korea,,,,,,,
unmatched_ais,440121310,Dukmyung 103,4194304,South Korea,,,,,,,
unmatched_ais,440118430,Dukmyung 126,4194304,South Korea,,,,,,,
unmatched_ais,440148130,Dukmyung 38,,South Korea,,,,,,,
unmatched_ais,440195040,Dukmyung 78,,South Korea,,,,,,,
unmatched_ais,440110190,Dukmyung 88,4194304,South Korea,,,,,,,
unmatched_ais,440600600,Duksungho 77,,South Korea,,,,,,,
unmatched_ais,440404340,Duksunho 301,,South Korea,,,,,,,
unmatched_ais,440778000,Dw121,8827600,South Korea,,Busan,"Dongwon Industries Co., Ltd.","68, Mabang-ro, Seocho-gu, Seoul,Republic of Korea","Dongwon Industries Co., Ltd.","68, Mabang-ro, Seocho-gu, Seoul,Republic of Korea",
unmatched_ais,441209668,Eappfyph,,South Korea,,,,,,,
unmatched_ais,440479000,Elspeth,7827483,South Korea,,TV-FUN,TUDO Fisheries Co. Pty. Ltd.,"Fongafale Road, Alapi, Funafuti, Tuvalu",,,
unmatched_ais,440090860,Eojin 107,,South Korea,,,,,,,
unmatched_ais,440015480,Eosaho 201,4194304,South Korea,,,,,,,
unmatched_ais,440409970,Eunhaho,,South Korea,,,,,,,
unmatched_ais,440000087,Eunhe,4194304,South Korea,,,,,,,
unmatched_ais,440075780,Eunjin 2018,4194304,South Korea,,,,,,,
unmatched_ais,440402690,Eunjin 211,,South Korea,,,,,,,
unmatched_ais,440013670,Eunjinho,4194304,South Korea,,,,,,,
unmatched_ais,440002870,Eunjinho 101,,South Korea,,,,,,,
unmatched_ais,440326570,Eunjung 2012,,South Korea,,,,,,,
unmatched_ais,440701310,g 0Rae 100,,South Korea,,,,,,,
